Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	1000	1000	1000	1000	1000	1000	1000	1024
2	3000	3000	1500	1500	1500	1500	1500	1024
3	6000	6000	3750	3750	3750	3750	3750	1024
4	10000	10000	7875	7875	7875	7875	7875	1024
5	15000	15000	14175	14175	14175	14175	14175	1024
6	21000	21000	22680	22680	22680	22680	22680	1024
7	28000	28000	32886	32886	32886	32886	32886	1024
8	36000	36000	44396	44396	44396	44396	44396	1024
9	45000	45000	57715	57715	57715	57715	57715	1024
10	55000	55000	72144	72144	72144	72144	72144	1024
11	66000	66000	90180	90180	90180	90180	90180	1024
12	78000	78000	112725	112725	112725	112725	112725	1024
13	91000	91000	140906	140906	140906	140906	140906	1024
14	105000	105000	176132	176132	176132	176132	176132	1024
15	120000	120000	220165	220165	220165	220165	220165	1024
16	136000	136000	275207	275207	275207	275207	275207	1024
17	153000	153000	344008	344008	344008	344008	344008	1024
18	171000	171000	430010	430010	430010	430010	430010	1024
19	190000	190000	537513	537513	537513	537513	537513	1024
20	210000	210000	671891	671891	671891	671891	671891	1024
21	231000	231000	839864	839864	839864	839864	839864	1024
22	253000	253000	1049830	1049830	1049830	1049830	1049830	1024
23	276000	276000	1312287	1312287	1312287	1312287	1312287	1024
24	300000	300000	1640359	1640359	1640359	1640359	1640359	1024
25	325000	325000	2050449	2050449	2050449	2050449	2050449	1024
26	351000	351000	2563061	2563061	2563061	2563061	2563061	1024
27	378000	378000	3203826	3203826	3203826	3203826	3203826	1024
28	406000	406000	3902260	3902260	3902260	3902260	3902260	1024
29	435000	435000	4663553	4663553	4663553	4663553	4663553	1024
30	465000	465000	5493363	5493363	5493363	5493363	5493363	1024
31	496000	496000	6397855	6397855	6397855	6397855	6397855	1024
32	528000	528000	7383752	7383752	7383752	7383752	7383752	1024
33	561000	561000	8458379	8458379	8458379	8458379	8458379	1024
34	595000	595000	9629723	9629723	9629723	9629723	9629723	1024
35	630000	630000	10906488	10906488	10906488	10906488	10906488	1024
36	666000	666000	12298162	12298162	12298162	12298162	12298162	1024
37	703000	703000	13815086	13815086	13815086	13815086	13815086	1024
